attack,fpr,mean_tpr,sample_std_tpr
compression_rate,0.17,0.23828125,0.04133986423538423
compression_rate,0.17200000000000001,0.24479166666666666,0.0379395892821184
compression_rate,0.17400000000000002,0.24479166666666666,0.0379395892821184
compression_rate,0.176,0.24869791666666666,0.04065753905207291
compression_rate,0.178,0.24869791666666666,0.04065753905207291
compression_rate,0.18,0.2643229166666667,0.05201818842562026
compression_rate,0.182,0.2643229166666667,0.05201818842562026
compression_rate,0.184,0.2669270833333333,0.05542655378591865
compression_rate,0.186,0.2669270833333333,0.05542655378591865
compression_rate,0.188,0.26953125,0.05510443742056986
compression_rate,0.19,0.26953125,0.05510443742056986
compression_rate,0.192,0.2734375,0.05370205892526375
compression_rate,0.194,0.2734375,0.05370205892526375
compression_rate,0.196,0.2760416666666667,0.05201818842562026
compression_rate,0.198,0.2760416666666667,0.05201818842562026
compression_rate,0.2,0.2799479166666667,0.05718799806249414
compression_rate,0.202,0.2799479166666667,0.05718799806249414
compression_rate,0.20400000000000001,0.2799479166666667,0.05718799806249414
compression_rate,0.20600000000000002,0.2799479166666667,0.05718799806249414
compression_rate,0.20800000000000002,0.2799479166666667,0.05718799806249414
compression_rate,0.21,0.2799479166666667,0.05718799806249414
compression_rate,0.212,0.28125,0.05898308152555273
compression_rate,0.214,0.28125,0.05898308152555273
compression_rate,0.216,0.2838541666666667,0.05966895436140417
compression_rate,0.218,0.2838541666666667,0.05966895436140417
compression_rate,0.22,0.2916666666666667,0.047091513854232096
compression_rate,0.222,0.2916666666666667,0.047091513854232096
compression_rate,0.224,0.29296875,0.0450490726354328
compression_rate,0.226,0.29296875,0.0450490726354328
compression_rate,0.228,0.2981770833333333,0.04302789490067267
compression_rate,0.23,0.2981770833333333,0.04302789490067267
compression_rate,0.232,0.3059895833333333,0.05083130545818525
compression_rate,0.234,0.3059895833333333,0.05083130545818525
compression_rate,0.23600000000000002,0.3072916666666667,0.05098117695430181
compression_rate,0.23800000000000002,0.3072916666666667,0.05098117695430181
compression_rate,0.24,0.3177083333333333,0.057982927287011245
compression_rate,0.242,0.3177083333333333,0.057982927287011245
compression_rate,0.244,0.3216145833333333,0.059284127280376096
compression_rate,0.246,0.3216145833333333,0.059284127280376096
compression_rate,0.248,0.3255208333333333,0.06080882515018551
