method_id,baseline_method_id,seed,attack,candidate_minus_plain_auc,bootstrap_mean_difference,ci95_lower,ci95_upper,bootstrap_iterations,resampling_unit
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260727,compression_rate,-0.0510711669921875,-0.05103919219970703,-0.062164688110351564,-0.04073944091796876,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260727,vocabulary_overlap,-0.0652923583984375,-0.06472348022460937,-0.10424919128417968,-0.02790718078613282,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260727,frequency_estimation,-0.2328033447265625,-0.23272433471679688,-0.2787940979003906,-0.18590469360351564,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260727,merge_similarity,0.005645751953125,0.005570625305175781,-0.028139114379882812,0.0403003692626953,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260727,naive_bayes,-0.1266326904296875,-0.12616605377197265,-0.159637451171875,-0.09556083679199222,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260728,compression_rate,-0.0436553955078125,-0.04347602081298828,-0.055908203125,-0.032606887817382815,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260728,vocabulary_overlap,-0.1297607421875,-0.12879717254638673,-0.206683349609375,-0.04998779296875008,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260728,frequency_estimation,-0.15604400634765625,-0.15638243103027344,-0.20112228393554688,-0.10892372131347657,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260728,merge_similarity,-0.0611572265625,-0.06194573974609375,-0.1580890655517578,0.03694496154785154,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260728,naive_bayes,-0.110382080078125,-0.1107284164428711,-0.14346027374267578,-0.08051509857177737,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260726,compression_rate,-0.0404205322265625,-0.04043064880371094,-0.05137939453125,-0.02961654663085938,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260726,vocabulary_overlap,-0.1328887939453125,-0.13301795959472656,-0.21091270446777344,-0.054652404785156275,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260726,frequency_estimation,-0.2191162109375,-0.2191400489807129,-0.26811809539794923,-0.17207775115966797,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260726,merge_similarity,-0.060089111328125,-0.059441543579101565,-0.12582550048828126,0.010792922973632785,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260726,naive_bayes,-0.0968017578125,-0.09657209396362304,-0.12313213348388671,-0.0719146728515625,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260727,compression_rate,-0.0506134033203125,-0.05041552734375,-0.0619659423828125,-0.03948936462402344,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260727,vocabulary_overlap,-0.06103515625,-0.06125218963623047,-0.09877204895019531,-0.023023605346679698,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260727,frequency_estimation,-0.22332000732421875,-0.2224354019165039,-0.27054634094238283,-0.17543296813964845,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260727,merge_similarity,0.0008544921875,0.0017427139282226562,-0.030839920043945312,0.03372421264648436,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260727,naive_bayes,-0.1262359619140625,-0.12585417556762696,-0.1581890106201172,-0.09510002136230469,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260728,compression_rate,-0.0448760986328125,-0.045052154541015625,-0.0578033447265625,-0.03341636657714844,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260728,vocabulary_overlap,-0.1386566162109375,-0.1384203872680664,-0.21675453186035157,-0.057359313964843825,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260728,frequency_estimation,-0.16574859619140625,-0.16565932083129883,-0.20938243865966796,-0.12077198028564454,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260728,merge_similarity,-0.0543212890625,-0.055188385009765625,-0.1466533660888672,0.03431053161621089,2000,website; paired and stratified by membership
sa_dp_eps4p0_C50_b32_K1024,plain_bpe,20260728,naive_bayes,-0.1111297607421875,-0.11138211441040038,-0.14506855010986328,-0.08099670410156257,2000,website; paired and stratified by membership
