method_id,mode,epsilon_total,clipping_percentile,batch_merge_size,candidate_pool_size,min_count_threshold,seed,attack,roc_auc,average_precision,balanced_accuracy,tpr_at_fpr_le_0_01,tpr_at_fpr_le_0_001,roc_auc_ci95_lower,roc_auc_ci95_upper,site_count,shadow_count,elapsed_seconds,peak_memory_bytes,source
min_count_5,min_count,,,1,,5,20260727,compression_rate,0.5478057861328125,0.5548390319177776,0.548828125,0.0078125,0.0,0.49726638793945316,0.5968795776367187,512,0,20.940977499936707,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/compression_rate.json
min_count_5,min_count,,,1,,5,20260727,vocabulary_overlap,0.5395965576171875,0.5702409884709054,0.544921875,0.04296875,0.03515625,0.4898677825927734,0.5888996124267578,512,32,37.50625939993188,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/vocabulary_overlap.json
min_count_5,min_count,,,1,,5,20260727,frequency_estimation,0.73284912109375,0.7609997761190165,0.6796875,0.21875,0.171875,0.6884838104248047,0.7744758605957032,512,1,58.22191490000114,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/frequency_estimation.json
min_count_5,min_count,,,1,,5,20260727,merge_similarity,0.5088348388671875,0.5172564686791024,0.5234375,0.01171875,0.0,0.4591361999511719,0.5586570739746093,512,32,4.906248799990863,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/merge_similarity.json
min_count_5,min_count,,,1,,5,20260727,naive_bayes,0.5442657470703125,0.5751798967288703,0.541015625,0.08203125,0.08203125,0.4941692352294922,0.5935211181640625,512,0,40.03332239994779,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/naive_bayes.json
min_count_5,min_count,,,1,,5,20260728,compression_rate,0.5349578857421875,0.5367476199978292,0.54296875,0.0078125,0.0078125,0.4855190277099609,0.5850391387939453,512,0,20.218460000003688,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/compression_rate.json
min_count_5,min_count,,,1,,5,20260728,vocabulary_overlap,0.60040283203125,0.6043808306744618,0.58984375,0.03515625,0.0078125,0.5523529052734375,0.6492626190185546,512,32,37.09025590005331,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/vocabulary_overlap.json
min_count_5,min_count,,,1,,5,20260728,frequency_estimation,0.66473388671875,0.7178364157544777,0.646484375,0.16796875,0.09375,0.6167888641357422,0.7105106353759766,512,1,57.48639330000151,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/frequency_estimation.json
min_count_5,min_count,,,1,,5,20260728,merge_similarity,0.5306854248046875,0.5282141950772647,0.560546875,0.0078125,0.0078125,0.4807415008544922,0.5812538146972657,512,32,5.009026299929246,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/merge_similarity.json
min_count_5,min_count,,,1,,5,20260728,naive_bayes,0.53143310546875,0.5749179334754427,0.548828125,0.078125,0.06640625,0.4823604583740234,0.5808879852294921,512,0,40.109835500014015,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/naive_bayes.json
min_count_10,min_count,,,1,,10,20260726,compression_rate,0.5732269287109375,0.5836268512369971,0.576171875,0.01953125,0.0,0.5241985321044922,0.6217658996582032,512,0,21.432614300050773,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/compression_rate.json
min_count_10,min_count,,,1,,10,20260726,vocabulary_overlap,0.5823974609375,0.6111489870007123,0.56640625,0.07421875,0.04296875,0.5329433441162109,0.6315616607666016,512,32,36.890685499995016,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/vocabulary_overlap.json
min_count_10,min_count,,,1,,10,20260726,frequency_estimation,0.6737213134765625,0.7198746085152719,0.65234375,0.1484375,0.109375,0.6264488220214843,0.7194080352783203,512,1,63.22089799994137,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/frequency_estimation.json
min_count_10,min_count,,,1,,10,20260726,merge_similarity,0.547210693359375,0.5337645839458828,0.546875,0.00390625,0.00390625,0.4967494964599609,0.5966804504394532,512,32,5.428033799980767,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/merge_similarity.json
min_count_10,min_count,,,1,,10,20260726,naive_bayes,0.5183868408203125,0.5504688650614851,0.55078125,0.06640625,0.05859375,0.4682758331298828,0.5686187744140625,512,0,45.672363799996674,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/naive_bayes.json
min_count_10,min_count,,,1,,10,20260727,compression_rate,0.5477142333984375,0.5548063483042649,0.548828125,0.0078125,0.0,0.4985034942626953,0.5975807189941407,512,0,20.330893900012597,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/compression_rate.json
min_count_10,min_count,,,1,,10,20260727,vocabulary_overlap,0.5372467041015625,0.5661649751491952,0.541015625,0.0390625,0.02734375,0.48717918395996096,0.5865329742431641,512,32,37.03838300006464,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/vocabulary_overlap.json
min_count_10,min_count,,,1,,10,20260727,frequency_estimation,0.729278564453125,0.7579519840344692,0.677734375,0.21875,0.171875,0.6848140716552734,0.7711183547973632,512,1,57.8205288000172,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/frequency_estimation.json
